电影名称,上映日期,评分,评论人数,演员,类型,国家,电影ID,URL
东京物语,1953-11-03,9.1,146270,"笠智众,原节子,杉村春子","剧情,家庭",日本,1291568,https://movie.douban.com/subject/1291568/
悲情城市,1989-09-12,9.0,117156,"梁朝伟,辛树芬,陈松勇","剧情,历史",中国台湾,1294194,https://movie.douban.com/subject/1294194/
喜剧之王,1999-02-13,8.8,1023596,"周星驰,张柏芝,莫文蔚","喜剧,剧情,爱情",中国香港,1302425,https://movie.douban.com/subject/1302425/
重庆森林,1994-07-14,8.8,862966,"林青霞,金城武,梁朝伟","剧情,爱情",中国香港,1291999,https://movie.douban.com/subject/1291999/
绿里奇迹,1999-12-10,8.9,358124,"汤姆·汉克斯,大卫·摩斯,迈克·克拉克·邓肯","犯罪,剧情,奇幻,悬疑",美国,1300374,https://movie.douban.com/subject/1300374/
寄生虫,2019-05-21,8.8,1452147,"宋康昊,李善均,曹汝贞",剧情,韩国,27010768,https://movie.douban.com/subject/27010768/
你看起来好像很好吃,2010-10-16,8.9,351873,"山口胜平,爱河里花子,加藤清史郎","剧情,动画,儿童",日本,4848115,https://movie.douban.com/subject/4848115/
看不见的客人,2017-09-15,8.8,1351060,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多","剧情,犯罪,悬疑,惊悚",西班牙,26580232,https://movie.douban.com/subject/26580232/
卢旺达饭店,2004-09-11,8.9,348239,"唐·钱德尔,苏菲·奥康内多,华金·菲尼克斯","剧情,传记,历史,战争","英国,南非,意大利,美国",1291822,https://movie.douban.com/subject/1291822/
花样年华,2000-05-20,8.8,655393,"梁朝伟,张曼玉,潘迪华","剧情,爱情",中国香港,1291557,https://movie.douban.com/subject/1291557/
机器人之梦,2024-06-08,9.0,195593,"伊万·拉班达,阿尔伯特·特里佛·塞加拉,拉法·卡尔沃","剧情,动画,音乐","西班牙,法国",35426925,https://movie.douban.com/subject/35426925/
阳光灿烂的日子,1995-08-21,8.8,650020,"夏雨,宁静,陶虹","剧情,爱情","中国大陆,中国香港",1291875,https://movie.douban.com/subject/1291875/
心迷宫,2015-10-16,8.8,567034,"霍卫民,王笑天,罗芸","剧情,犯罪,悬疑",中国大陆,25917973,https://movie.douban.com/subject/25917973/
七宗罪,1995-09-22,8.8,992007,"摩根·弗里曼,布拉德·皮特,凯文·史派西","剧情,犯罪,悬疑,惊悚",美国,1292223,https://movie.douban.com/subject/1292223/
无间道2,2003-10-17,8.8,520361,"陈冠希,余文乐,曾志伟","剧情,犯罪,惊悚",中国香港,1307106,https://movie.douban.com/subject/1307106/
纵横四海,1991-02-02,8.8,449641,"周润发,张国荣,钟楚红","剧情,喜剧,动作,犯罪",中国香港,1295409,https://movie.douban.com/subject/1295409/
末路狂花,1991-05-24,8.9,294946,"吉娜·戴维斯,苏珊·萨兰登,哈威·凯特尔","犯罪,剧情,惊悚","美国,英国,法国",1291992,https://movie.douban.com/subject/1291992/
请以你的名字呼唤我,2017-01-22,8.8,771704,"艾米·汉莫,提莫西·查拉梅,迈克尔·斯图巴","剧情,爱情,同性","意大利,法国,巴西,美国",26799731,https://movie.douban.com/subject/26799731/
黑镜：圣诞特别篇,2014-12-16,9.1,129209,"乔恩·哈姆,拉菲·斯波,奥娜·卓别林","剧情,科幻,惊悚",英国,25964630,https://movie.douban.com/subject/25964630/
奥本海默,2023-08-30,8.8,743265,"基里安·墨菲,艾米莉·布朗特,马特·达蒙","剧情,传记,历史","美国,英国",35593344,https://movie.douban.com/subject/35593344/
断背山,2005-09-02,8.8,740594,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯","剧情,爱情,同性,家庭","美国,加拿大",1418834,https://movie.douban.com/subject/1418834/
被嫌弃的松子的一生,2006-05-27,8.8,736959,"中谷美纪,永山瑛太,香川照之","剧情,歌舞",日本,1787291,https://movie.douban.com/subject/1787291/
爱在黎明破晓前,1995-01-27,8.8,734770,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特","剧情,爱情","美国,奥地利,瑞士",1296339,https://movie.douban.com/subject/1296339/
告白,2010-06-05,8.8,703409,"松隆子,冈田将生,木村佳乃","剧情,悬疑",日本,4268598,https://movie.douban.com/subject/4268598/
模仿游戏,2015-07-21,8.8,684474,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪","剧情,传记,战争,同性","英国,美国",10463953,https://movie.douban.com/subject/10463953/
被解救的姜戈,2013-05-12,8.8,647037,"杰米·福克斯,莱昂纳多·迪卡普里奥,克里斯托弗·瓦尔兹","剧情,动作,西部,冒险",美国,6307447,https://movie.douban.com/subject/6307447/
我爱你,2011-02-17,9.0,170897,"宋在浩,李顺载,尹秀晶","剧情,爱情",韩国,5908478,https://movie.douban.com/subject/5908478/
盲井,2003-02-12,8.9,147655,"王双宝,王宝强,李易祥","犯罪,剧情","中国大陆,德国,中国香港",1307528,https://movie.douban.com/subject/1307528/
阳光姐妹淘,2011-05-04,8.8,611203,"沈恩敬,闵孝琳,姜素拉","剧情,喜剧",韩国,4917726,https://movie.douban.com/subject/4917726/
幸福终点站,2005-01-14,8.8,604427,"汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐","喜剧,剧情,爱情",美国,1292274,https://movie.douban.com/subject/1292274/
大鱼,2003-12-04,8.8,595803,"伊万·麦克格雷格,阿尔伯特·芬尼,比利·克鲁德普","剧情,爱情,奇幻,冒险",美国,1291545,https://movie.douban.com/subject/1291545/
大红灯笼高高挂,1991-09-10,8.8,319809,"巩俐,马精武,何赛飞",剧情,"中国大陆,中国香港,中国台湾",1293323,https://movie.douban.com/subject/1293323/
萤火之森,2011-09-17,8.8,573287,"佐仓绫音,内山昂辉,辻亲八","剧情,爱情,动画,奇幻",日本,5989818,https://movie.douban.com/subject/5989818/
隐藏人物,2016-12-25,8.9,239923,"塔拉吉·P·汉森,奥克塔维亚·斯宾瑟,加奈儿·梦奈","剧情,传记,历史",美国,26615208,https://movie.douban.com/subject/26615208/
海街日记,2015-05-14,8.8,481922,"绫濑遥,长泽雅美,夏帆","剧情,家庭",日本,25895901,https://movie.douban.com/subject/25895901/
达拉斯买家俱乐部,2013-09-07,8.8,477786,"马修·麦康纳,詹妮弗·加纳,杰瑞德·莱托","剧情,传记,同性",美国,1793929,https://movie.douban.com/subject/1793929/
荒蛮故事,2014-05-17,8.8,468627,"达里奥·格兰迪内蒂,玛丽娅·玛努尔,莫妮卡·比利亚","剧情,喜剧,犯罪","阿根廷,西班牙",24750126,https://movie.douban.com/subject/24750126/
遥望南方的童年,2007,9.3,42844,,剧情,中国大陆,3037329,https://movie.douban.com/subject/3037329/
枪火,1999-11-19,8.8,240446,"吴镇宇,任达华,黄秋生","剧情,动作,犯罪",中国香港,1300741,https://movie.douban.com/subject/1300741/
偷自行车的人,1948-11-24,9.1,112851,"兰贝托·马乔拉尼,恩佐·斯泰奥拉,莉安拉·卡雷尔","犯罪,剧情",意大利,1295873,https://movie.douban.com/subject/1295873/
房间,2015-09-04,8.8,383584,"布丽·拉尔森,雅各布·特伦布莱,肖恩·布里吉格斯","剧情,家庭","爱尔兰,加拿大,英国,美国",25724855,https://movie.douban.com/subject/25724855/
地球上的星星,2007-12-21,8.9,209289,"达席尔·萨法瑞,阿米尔·汗,塔奈·切赫达","剧情,儿童,家庭",印度,2363506,https://movie.douban.com/subject/2363506/
东邪西毒：终极版,2009-03-26,8.8,211251,"张国荣,林青霞,梁朝伟","剧情,动作,爱情","中国香港,中国大陆,中国台湾",3726072,https://movie.douban.com/subject/3726072/
恐怖分子,1986-12-19,9.0,79345,"缪骞人,李立群,金士杰","剧情,犯罪",中国台湾,1305261,https://movie.douban.com/subject/1305261/
变脸,1995-06-09,9.1,59743,"朱旭,周任莹,赵志刚",剧情,"中国大陆,中国香港",1293237,https://movie.douban.com/subject/1293237/
色，戒,2007-11-01,8.7,882629,"梁朝伟,汤唯,陈冲","剧情,爱情,情色","中国台湾,中国大陆,美国,中国香港",1828115,https://movie.douban.com/subject/1828115/
天堂回信,1992-02-01,9.2,48276,"石晨,李丁,肖雄","剧情,儿童",中国大陆,1418076,https://movie.douban.com/subject/1418076/
盲山,2007-05-20,8.8,191774,"黄璐,杨幼安,贺运乐","剧情,犯罪",中国大陆,2063528,https://movie.douban.com/subject/2063528/
赛德克·巴莱,2012-05-10,8.8,191036,"林庆台,马志翔,安藤政信","剧情,历史,战争",中国台湾,3993559,https://movie.douban.com/subject/3993559/
大独裁者,1940-10-15,9.2,86000,"查理·卓别林,宝莲·高黛,杰克·奥克","喜剧,剧情,战争",美国,1295646,https://movie.douban.com/subject/1295646/
九品芝麻官,1994-03-31,8.7,732621,"周星驰,吴孟达,张敏","剧情,喜剧,古装","中国香港,中国大陆",1297518,https://movie.douban.com/subject/1297518/
赛德克·巴莱(上)：太阳旗,2011-09-01,8.9,108647,"林庆台,游大庆,马志翔","剧情,历史,战争",中国台湾,10450409,https://movie.douban.com/subject/10450409/
罗生门,1950-08-26,8.8,334875,"三船敏郎,京町子,森雅之","剧情,犯罪,悬疑",日本,1291879,https://movie.douban.com/subject/1291879/
千钧一发,1997-10-24,8.8,322657,"伊桑·霍克,乌玛·瑟曼,裘德·洛","剧情,科幻,惊悚",美国,1300117,https://movie.douban.com/subject/1300117/
剪刀手爱德华,1990-12-06,8.7,1076520,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特","剧情,爱情,奇幻",美国,1292370,https://movie.douban.com/subject/1292370/
岁月神偷,2010-04-16,8.7,592999,"吴君如,任达华,钟绍图","剧情,家庭","中国香港,中国大陆",3792799,https://movie.douban.com/subject/3792799/
小丑,2019-08-31,8.7,1065039,"华金·菲尼克斯,罗伯特·德尼罗,马克·马龙","剧情,犯罪,惊悚","美国,加拿大",27119724,https://movie.douban.com/subject/27119724/
消失的爱人,2014-09-26,8.7,1013287,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯","剧情,犯罪,悬疑,惊悚",美国,21318488,https://movie.douban.com/subject/21318488/
沉静如海,2004-10-25,9.1,102904,"朱莉·德拉姆,米歇尔·加拉布吕,托马斯·儒阿特","剧情,爱情,战争","法国,比利时",1769507,https://movie.douban.com/subject/1769507/
天使爱美丽,2001-04-25,8.7,985296,"奥黛丽·塔图,马修·卡索维茨,吕菲斯","剧情,喜剧,爱情","法国,德国",1292215,https://movie.douban.com/subject/1292215/
大佛普拉斯,2017-06-29,8.7,507734,"庄益增,陈竹升,戴立忍","剧情,喜剧",中国台湾,27059130,https://movie.douban.com/subject/27059130/
三块广告牌,2018-03-02,8.7,867305,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔","剧情,犯罪","英国,美国",26611804,https://movie.douban.com/subject/26611804/
步履不停,2008-06-28,8.8,298644,"阿部宽,夏川结衣,江原由希子","剧情,家庭",日本,2222996,https://movie.douban.com/subject/2222996/
傲慢与偏见,2005-09-16,8.7,855845,"凯拉·奈特莉,马修·麦克费登,唐纳德·萨瑟兰","剧情,爱情","法国,英国,美国",1418200,https://movie.douban.com/subject/1418200/
小偷家族,2018-08-03,8.7,853697,"中川雅也,安藤樱,松冈茉优","剧情,犯罪,家庭",日本,27622447,https://movie.douban.com/subject/27622447/
魂断蓝桥,1940-05-17,8.8,293895,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森","剧情,爱情,战争",美国,1293964,https://movie.douban.com/subject/1293964/
血战钢锯岭,2016-12-08,8.7,817072,"安德鲁·加菲尔德,萨姆·沃辛顿,文斯·沃恩","剧情,传记,历史,战争","澳大利亚,美国",26325320,https://movie.douban.com/subject/26325320/
千年女优,2001-07-28,8.8,292585,"庄司美代子,小山茉美,折笠富美子","动画,剧情,爱情",日本,1307394,https://movie.douban.com/subject/1307394/
赛德克·巴莱(下)：彩虹桥,2011-09-01,8.9,97044,"马志翔,温岚,田中千绘","剧情,历史,战争",中国台湾,6393127,https://movie.douban.com/subject/6393127/
过年,1991-02-12,9.0,69842,"赵丽蓉,李保田,葛优","剧情,家庭",中国大陆,1296218,https://movie.douban.com/subject/1296218/
恐怖直播,2013-07-31,8.7,689575,"河正宇,李璟荣,全慧珍","剧情,犯罪,悬疑",韩国,21360417,https://movie.douban.com/subject/21360417/
聚焦,2015-09-03,8.8,271311,"马克·鲁弗洛,迈克尔·基顿,瑞秋·麦克亚当斯","剧情,传记",美国,25954475,https://movie.douban.com/subject/25954475/
爱尔兰人,2019-09-27,8.8,271250,"罗伯特·德尼罗,阿尔·帕西诺,乔·佩西","剧情,传记,犯罪",美国,6981153,https://movie.douban.com/subject/6981153/
勇士,2011-09-09,8.9,168497,"汤姆·哈迪,乔尔·埃哲顿,尼克·诺特","剧情,运动,家庭",美国,3217169,https://movie.douban.com/subject/3217169/
记忆碎片,2000-09-05,8.7,634821,"盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺","犯罪,剧情,悬疑,惊悚",美国,1304447,https://movie.douban.com/subject/1304447/
爆裂鼓手,2014-01-16,8.7,625099,"迈尔斯·特勒,J·K·西蒙斯,保罗·雷瑟","剧情,音乐",美国,25773932,https://movie.douban.com/subject/25773932/
一次别离,2012-11-13,8.8,254836,"佩曼·莫阿迪,蕾拉·哈塔米,萨瑞·巴亚特","剧情,家庭","伊朗,法国",5964718,https://movie.douban.com/subject/5964718/
那山那人那狗,2001-04-07,8.8,135422,"滕汝骏,刘烨,赵秀丽","剧情,家庭",中国大陆,1307766,https://movie.douban.com/subject/1307766/
百万美元宝贝,2004-12-15,8.8,241197,"克林特·伊斯特伍德,希拉里·斯万克,摩根·弗里曼","剧情,运动",美国,1309016,https://movie.douban.com/subject/1309016/
无耻混蛋,2009-05-20,8.7,512509,"布拉德·皮特,梅拉尼·罗兰,克里斯托弗·瓦尔兹","剧情,犯罪","德国,美国",1438652,https://movie.douban.com/subject/1438652/
遗愿清单,2007-12-25,8.7,496966,"杰克·尼科尔森,摩根·弗里曼,西恩·海耶斯","冒险,喜剧,剧情",美国,1867345,https://movie.douban.com/subject/1867345/
爱·回家,2002-04-05,9.1,91723,"金艺芬,俞承豪","剧情,家庭",韩国,1299361,https://movie.douban.com/subject/1299361/
霸王别姬,1993-07-26,9.6,2259688,"张国荣,张丰毅,巩俐","剧情,爱情,同性","中国大陆,中国香港",1291546,https://movie.douban.com/subject/1291546/
泰坦尼克号,1998-04-03,9.5,2318648,"莱昂纳多·迪卡普里奥,凯特·温斯莱特,比利·赞恩","剧情,爱情,灾难","美国,墨西哥",1292722,https://movie.douban.com/subject/1292722/
阿甘正传,1994-06-23,9.5,2278786,"汤姆·汉克斯,罗宾·怀特,加里·辛尼斯","剧情,爱情",美国,1292720,https://movie.douban.com/subject/1292720/
美丽人生,2020-01-03,9.5,1393413,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼","剧情,喜剧,爱情,战争",意大利,1292063,https://movie.douban.com/subject/1292063/
乱世佳人,1939-12-15,9.3,733202,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰","剧情,历史,爱情,战争",美国,1300267,https://movie.douban.com/subject/1300267/
摩登时代,1936-02-25,9.3,322030,"查理·卓别林,宝莲·高黛,亨利·伯格曼","剧情,喜剧,爱情",美国,1294371,https://movie.douban.com/subject/1294371/
大话西游之大圣娶亲,2014-10-24,9.2,1609672,"周星驰,吴孟达,朱茵","喜剧,爱情,奇幻,古装","中国香港,中国大陆",1292213,https://movie.douban.com/subject/1292213/
三傻大闹宝莱坞,2011-12-08,9.2,1952807,"阿米尔·汗,卡琳娜·卡普尔,马达范","剧情,喜剧,爱情,歌舞",印度,3793023,https://movie.douban.com/subject/3793023/
芙蓉镇,1987-03-05,9.3,161194,"刘晓庆,姜文,郑在石","剧情,爱情",中国大陆,1297880,https://movie.douban.com/subject/1297880/
天堂电影院,2021-06-11,9.2,707316,"菲利普·努瓦雷,萨瓦特利·卡西欧,雅克·贝汉","剧情,爱情","意大利,法国",1291828,https://movie.douban.com/subject/1291828/
南海十三郎,1997-05-15,9.3,88525,"谢君豪,苏玉华,吴绮莉","剧情,传记,爱情",中国香港,1303913,https://movie.douban.com/subject/1303913/
城市之光,1931-01-30,9.3,158438,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李","喜剧,剧情,爱情",美国,1293908,https://movie.douban.com/subject/1293908/
怦然心动,2010-07-26,9.1,1930538,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮","剧情,喜剧,爱情",美国,3319755,https://movie.douban.com/subject/3319755/
哈尔的移动城堡,2024-04-30,9.1,1167220,"倍赏千惠子,木村拓哉,美轮明宏","爱情,动画,奇幻,冒险",日本,1308807,https://movie.douban.com/subject/1308807/
罗马假日,1953-08-20,9.1,993463,"奥黛丽·赫本,格利高里·派克,埃迪·艾伯特","喜剧,剧情,爱情",美国,1293839,https://movie.douban.com/subject/1293839/
一一,2000-05-14,9.1,438978,"李凯莉,金燕玲,张洋洋","剧情,爱情,家庭","中国台湾,日本",1292434,https://movie.douban.com/subject/1292434/
音乐之声,1965-03-02,9.1,639320,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克","剧情,传记,爱情,歌舞",美国,1294408,https://movie.douban.com/subject/1294408/
生活多美好,1946-12-20,9.3,106577,"詹姆斯·斯图尔特,唐娜·里德,莱昂纳尔·巴里摩尔","剧情,爱情,奇幻",美国,1293749,https://movie.douban.com/subject/1293749/
大话西游之月光宝盒,2014-10-24,9.0,1282289,"周星驰,吴孟达,罗家英","喜剧,爱情,奇幻,古装","中国香港,中国大陆",1299398,https://movie.douban.com/subject/1299398/
春光乍泄,1997-05-17,9.0,668716,"张国荣,梁朝伟,张震","剧情,爱情,同性","中国香港,日本,韩国",1292679,https://movie.douban.com/subject/1292679/
灿烂人生,2003-05-20,9.4,76891,"路易吉·洛·卡肖,阿莱西奥·博尼,索尼娅·贝加马斯科","剧情,爱情,家庭",意大利,1291831,https://movie.douban.com/subject/1291831/
本杰明·巴顿奇事,2008-12-25,9.0,1040158,"凯特·布兰切特,布拉德·皮特,朱莉娅·奥蒙德","剧情,爱情,奇幻",美国,1485260,https://movie.douban.com/subject/1485260/
雨中曲,1952-04-11,9.1,245349,"吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯","喜剧,歌舞,爱情",美国,1293460,https://movie.douban.com/subject/1293460/
喜宴,1993-08-04,9.0,393396,"赵文瑄,归亚蕾,郎雄","剧情,喜剧,爱情,同性,家庭","中国台湾,美国",1303037,https://movie.douban.com/subject/1303037/
牧马人,1982,9.1,92617,"朱时茂,丛珊,刘琼","剧情,爱情",中国大陆,1308038,https://movie.douban.com/subject/1308038/
莫娣,2016-09-02,9.1,146907,"莎莉·霍金斯,伊桑·霍克,卡瑞·玛切特","剧情,传记,爱情","爱尔兰,加拿大",25938803,https://movie.douban.com/subject/25938803/
情书,1995-03-25,8.9,1193815,"中山美穗,丰川悦司,酒井美纪","剧情,爱情",日本,1292220,https://movie.douban.com/subject/1292220/
甜蜜蜜,2015-02-13,8.9,611235,"黎明,张曼玉,杨恭如","剧情,爱情",中国香港,1305164,https://movie.douban.com/subject/1305164/
爱在日落黄昏时,2004-02-10,8.9,602828,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫","剧情,爱情","美国,法国",1291990,https://movie.douban.com/subject/1291990/
侧耳倾听,1995-07-15,8.9,492362,"本名阳子,小林桂树,高山南","剧情,爱情,动画",日本,1297052,https://movie.douban.com/subject/1297052/
爱在午夜降临前,2013-06-14,8.9,434806,"伊桑·霍克,朱莉·德尔佩,肖姆斯·戴维-菲茨帕特里克","剧情,爱情","美国,希腊",10808442,https://movie.douban.com/subject/10808442/
我爱你,2011-02-17,9.0,170897,"宋在浩,李顺载,尹秀晶","剧情,爱情",韩国,5908478,https://movie.douban.com/subject/5908478/
沉静如海,2004-10-25,9.1,102904,"朱莉·德拉姆,米歇尔·加拉布吕,托马斯·儒阿特","剧情,爱情,战争","法国,比利时",1769507,https://movie.douban.com/subject/1769507/
老友记重聚特辑,2021-05-27,9.2,76530,"詹妮弗·安妮斯顿,柯特妮·考克斯,马修·派瑞","喜剧,爱情",美国,34908189,https://movie.douban.com/subject/34908189/
喜剧之王,1999-02-13,8.8,1023596,"周星驰,张柏芝,莫文蔚","喜剧,剧情,爱情",中国香港,1302425,https://movie.douban.com/subject/1302425/
重庆森林,1994-07-14,8.8,862966,"林青霞,金城武,梁朝伟","剧情,爱情",中国香港,1291999,https://movie.douban.com/subject/1291999/
倩女幽魂,2011-04-30,8.8,775363,"张国荣,王祖贤,午马","爱情,奇幻,武侠,古装",中国香港,1297447,https://movie.douban.com/subject/1297447/
花样年华,2000-05-20,8.8,655393,"梁朝伟,张曼玉,潘迪华","剧情,爱情",中国香港,1291557,https://movie.douban.com/subject/1291557/
阳光灿烂的日子,1995-08-21,8.8,650020,"夏雨,宁静,陶虹","剧情,爱情","中国大陆,中国香港",1291875,https://movie.douban.com/subject/1291875/
请以你的名字呼唤我,2017-01-22,8.8,771704,"艾米·汉莫,提莫西·查拉梅,迈克尔·斯图巴","剧情,爱情,同性","意大利,法国,巴西,美国",26799731,https://movie.douban.com/subject/26799731/
断背山,2005-09-02,8.8,740594,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯","剧情,爱情,同性,家庭","美国,加拿大",1418834,https://movie.douban.com/subject/1418834/
爱在黎明破晓前,1995-01-27,8.8,734770,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特","剧情,爱情","美国,奥地利,瑞士",1296339,https://movie.douban.com/subject/1296339/
时空恋旅人,2013-09-04,8.8,727241,"多姆纳尔·格里森,瑞秋·麦克亚当斯,比尔·奈伊","喜剧,爱情,奇幻","英国,美国",10577869,https://movie.douban.com/subject/10577869/
幸福终点站,2005-01-14,8.8,604427,"汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐","喜剧,剧情,爱情",美国,1292274,https://movie.douban.com/subject/1292274/
大鱼,2003-12-04,8.8,595803,"伊万·麦克格雷格,阿尔伯特·芬尼,比利·克鲁德普","剧情,爱情,奇幻,冒险",美国,1291545,https://movie.douban.com/subject/1291545/
萤火之森,2011-09-17,8.8,573287,"佐仓绫音,内山昂辉,辻亲八","剧情,爱情,动画,奇幻",日本,5989818,https://movie.douban.com/subject/5989818/
东邪西毒：终极版,2009-03-26,8.8,211251,"张国荣,林青霞,梁朝伟","剧情,动作,爱情","中国香港,中国大陆,中国台湾",3726072,https://movie.douban.com/subject/3726072/
淘金记,1925-06-26,9.2,63328,"查理·卓别林,马克·斯旺,汤姆·默里","喜剧,爱情,西部,冒险",美国,1298817,https://movie.douban.com/subject/1298817/
魂断蓝桥,1940-05-17,8.8,293895,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森","剧情,爱情,战争",美国,1293964,https://movie.douban.com/subject/1293964/
千年女优,2001-07-28,8.8,292585,"庄司美代子,小山茉美,折笠富美子","动画,剧情,爱情",日本,1307394,https://movie.douban.com/subject/1307394/
唐伯虎点秋香,1993-07-01,8.7,1145478,"周星驰,巩俐,陈百祥","喜剧,爱情,古装",中国香港,1306249,https://movie.douban.com/subject/1306249/
色，戒,2007-11-01,8.7,882629,"梁朝伟,汤唯,陈冲","剧情,爱情,情色","中国台湾,中国大陆,美国,中国香港",1828115,https://movie.douban.com/subject/1828115/
剪刀手爱德华,1990-12-06,8.7,1076520,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特","剧情,爱情,奇幻",美国,1292370,https://movie.douban.com/subject/1292370/
天使爱美丽,2001-04-25,8.7,985296,"奥黛丽·塔图,马修·卡索维茨,吕菲斯","剧情,喜剧,爱情","法国,德国",1292215,https://movie.douban.com/subject/1292215/
傲慢与偏见,2005-09-16,8.7,855845,"凯拉·奈特莉,马修·麦克费登,唐纳德·萨瑟兰","剧情,爱情","法国,英国,美国",1418200,https://movie.douban.com/subject/1418200/
新龙门客栈,2012-02-24,8.7,471944,"张曼玉,林青霞,梁家辉","动作,爱情,武侠,古装","中国香港,中国大陆",1292287,https://movie.douban.com/subject/1292287/
横道世之介,2013-02-23,8.8,182889,"高良健吾,吉高由里子,池松壮亮","剧情,爱情",日本,10484041,https://movie.douban.com/subject/10484041/
你逃我也逃,1942-03-06,9.2,53337,"卡洛·朗白,杰克·本尼,罗伯特·斯塔克","喜剧,爱情,战争",美国,1303418,https://movie.douban.com/subject/1303418/
悲惨世界,2013-02-28,8.7,351216,"休·杰克曼,罗素·克劳,安妮·海瑟薇","剧情,爱情,歌舞","英国,美国",6860160,https://movie.douban.com/subject/6860160/
燃情岁月,1994-12-16,8.7,301290,"布拉德·皮特,安东尼·霍普金斯,艾丹·奎因","剧情,爱情,战争,西部",美国,1295865,https://movie.douban.com/subject/1295865/
同级生,2016-02-20,9.1,59841,"野岛健儿,神谷浩史,石川英郎","爱情,动画,同性",日本,26344688,https://movie.douban.com/subject/26344688/
廊桥遗梦,1995-06-02,8.7,243973,"克林特·伊斯特伍德,梅丽尔·斯特里普,安妮·科利","剧情,爱情",美国,1293929,https://movie.douban.com/subject/1293929/
东邪西毒,1994-09-17,8.6,603163,"张国荣,林青霞,梁朝伟","剧情,动作,爱情,武侠,古装","中国香港,中国台湾",1292328,https://movie.douban.com/subject/1292328/
燃烧女子的肖像,2019-05-19,8.7,233190,"诺米·梅兰特,阿黛拉·哈内尔,卢安娜·巴杰拉米","剧情,爱情,同性",法国,30257175,https://movie.douban.com/subject/30257175/
青蛇,1993-11-04,8.6,556253,"张曼玉,王祖贤,赵文卓","剧情,爱情,奇幻,古装","中国香港,中国大陆",1303394,https://movie.douban.com/subject/1303394/
卡萨布兰卡,1943-07-07,8.7,231224,"亨弗莱·鲍嘉,英格丽·褒曼,保罗·亨雷德","剧情,爱情,战争",美国,1296753,https://movie.douban.com/subject/1296753/
蓝白红三部曲之红,1994-05-12,8.8,128638,"伊莲娜·雅各布,让-路易·特兰蒂尼昂,弗雷德里奎·费德","剧情,爱情,悬疑","法国,波兰,瑞士",1292047,https://movie.douban.com/subject/1292047/
贫民窟的百万富翁,2009-03-26,8.6,775530,"戴夫·帕特尔,沙鲁巴·舒克拉,亚尼·卡普尔","剧情,爱情",英国,2209573,https://movie.douban.com/subject/2209573/
花束般的恋爱,2022-02-22,8.6,713326,"菅田将晖,有村架纯,细田佳央太","剧情,爱情",日本,34874432,https://movie.douban.com/subject/34874432/
朗读者,2008-12-10,8.6,470685,"凯特·温斯莱特,大卫·克劳斯,拉尔夫·费因斯","剧情,爱情","美国,德国",2213597,https://movie.douban.com/subject/2213597/
恋恋风尘,1987-09-13,8.7,101652,"李天禄,辛树芬,王晶文","剧情,爱情",中国台湾,1292330,https://movie.douban.com/subject/1292330/
再次出发之纽约遇见你,2015-06-26,8.6,447896,"凯拉·奈特莉,马克·鲁弗洛,亚当·莱文","喜剧,爱情,音乐",美国,6874403,https://movie.douban.com/subject/6874403/
赎罪,2008-02-22,8.6,415743,"詹姆斯·麦卡沃伊,西尔莎·罗南,凯拉·奈特莉","剧情,悬疑,爱情,战争","英国,法国",1950148,https://movie.douban.com/subject/1950148/
穿越时空的少女,2006-07-15,8.6,391525,"仲里依纱,石田卓也,板仓光隆","剧情,爱情,科幻,动画",日本,1937946,https://movie.douban.com/subject/1937946/
哀乐中年,1949,9.3,21005,"石挥,朱嘉琛,沈扬","剧情,爱情,家庭",中国大陆,4719384,https://movie.douban.com/subject/4719384/
婚姻故事,2020-05-20,8.6,323945,"斯嘉丽·约翰逊,亚当·德赖弗,劳拉·邓恩","剧情,爱情","英国,美国",27202818,https://movie.douban.com/subject/27202818/
